"","ID","test","order","subjective","objective","word","reading_time","accuracy"
"387","FAP","words_reading",3,"ON","ON","capot",980,1
"388","FAP","words_reading",3,"ON","ON","crasse",880,1
"389","FAP","words_reading",3,"ON","ON","cabot",970,1
"390","FAP","words_reading",3,"ON","ON","coure",780,1
"391","FAP","words_reading",3,"ON","ON","reste",630,1
"392","FAP","words_reading",3,"ON","ON","ardent",760,1
"393","FAP","words_reading",3,"ON","ON","pleuve",910,1
"394","FAP","words_reading",3,"ON","ON","d̩caler",560,1
"395","FAP","words_reading",3,"ON","ON","toucher",560,1
"396","FAP","words_reading",3,"ON","ON","douche",490,1
"397","FAP","words_reading",4,"OFF","ON","f̩vrier",530,1
"398","FAP","words_reading",4,"OFF","ON","napper",460,1
"399","FAP","words_reading",4,"OFF","ON","salirait",610,1
"400","FAP","words_reading",4,"OFF","ON","visible",490,1
"401","FAP","words_reading",4,"OFF","ON","coucher",470,1
"402","FAP","words_reading",4,"OFF","ON","d̩taler",590,1
"403","FAP","words_reading",4,"OFF","ON","reste",370,1
"404","FAP","words_reading",4,"OFF","ON","cabre",480,1
"405","FAP","words_reading",4,"OFF","ON","d̩caler",450,1
"406","FAP","words_reading",4,"OFF","ON","crasse",600,1
"407","FAP","words_reading",4,"OFF","ON","ardent",600,1
"408","FAP","words_reading",4,"OFF","ON","cabot",440,1
"409","FAP","words_reading",4,"OFF","ON","conduit",630,1
"410","FAP","words_reading",4,"OFF","ON","conquit",750,1
"411","FAP","words_reading",4,"OFF","ON","pure",600,1
"412","FAP","words_reading",4,"OFF","ON","aride",610,1
"413","FAP","words_reading",4,"OFF","ON","toque",650,1
"414","FAP","words_reading",4,"OFF","ON","grise",970,1
"415","FAP","words_reading",4,"OFF","ON","bonne",620,1
"416","FAP","words_reading",4,"OFF","ON","ogre",820,1
"417","FAP","words_reading",4,"OFF","ON","happer",530,1
"418","FAP","words_reading",4,"OFF","ON","donne",420,1
"419","FAP","words_reading",4,"OFF","ON","coureuse",870,1
"420","FAP","words_reading",4,"OFF","ON","bouche",580,1
"421","FAP","words_reading",4,"OFF","ON","capot",970,1
"422","FAP","words_reading",4,"OFF","ON","blanche",880,1
"423","FAP","words_reading",4,"OFF","ON","couve",740,0
"424","FAP","words_reading",4,"OFF","ON","planche",1540,1
"425","FAP","words_reading",4,"OFF","ON","veste",420,1
"426","FAP","words_reading",4,"OFF","ON","l̩vrier",630,1
"427","FAP","words_reading",4,"OFF","ON","grasse",1170,1
"428","FAP","words_reading",4,"OFF","ON","cruelle",540,1
"429","FAP","words_reading",4,"OFF","ON","traque",760,1
"430","FAP","words_reading",4,"OFF","ON","complais",350,1
"431","FAP","words_reading",4,"OFF","ON","salivait",620,1
"432","FAP","words_reading",4,"OFF","ON","truelle",520,1
"433","FAP","words_reading",5,"ON","OFF","crise",820,1
"434","FAP","words_reading",5,"ON","OFF","pleuve",1140,1
"435","FAP","words_reading",5,"ON","OFF","contours",920,1
"436","FAP","words_reading",5,"ON","OFF","grise",1140,1
"437","FAP","words_reading",5,"ON","OFF","hu̩e",410,1
"438","FAP","words_reading",5,"ON","OFF","coque",420,1
"439","FAP","words_reading",5,"ON","OFF","vendre",400,1
"440","FAP","words_reading",5,"ON","OFF","risible",480,1
"441","FAP","words_reading",5,"ON","OFF","planche",290,1
