"","ID","cohorte","stimulus","word_freq","pseudoword_type","lexicality","length","display_condition","rt","accuracy","time_of_each_apparition","time_of_each_disparition"
"5379","R2AofF","dyslexic_children","article",3,0,"word",7,15,2160.94199985696,1,"558737.958,558804.535,558871.148,558938.019,559004.65,559071.211,559138.025,559204.572,559271.087,559338.003,559404.63,559471.181,559538.011,559604.658,559671.149,559738.011,559804.586,559871.17,559937.997,560004.592,560071.192,560138.005,560204.528,560271.118,560338.012,560404.644,560471.184,560538,560604.626,560671.134,560737.997,560804.456,560871.164","558771.156,558838.016,558904.674,558971.177,559037.997,559104.662,559171.211,559237.932,559304.651,559371.186,559437.982,559504.531,559571.141,559638.009,559704.651,559771.119,559837.925,559904.655,559971.142,560037.981,560104.662,560171.13,560237.995,560304.636,560371.143,560438.009,560504.634,560571.139,560637.987,560704.649,560771.078,560837.997"
"5380","R2AofF","dyslexic_children","humeur",2,0,"word",6,15,1062.09899980924,1,"476405.601,476472.164,476538.922,476605.546,476672.166,476738.918,476805.351,476872.131,476938.908,477005.566,477072.351,477138.917,477205.536,477272.242,477338.796,477405.49","476438.914,476505.517,476572.19,476638.928,476705.563,476772.257,476838.827,476905.559,476972.13,477038.911,477105.553,477172.204,477238.919,477305.355,477372.123,477438.905"
"5381","R2AofF","dyslexic_children","corme",0,3,"pseudoword",5,0.01,911.261999952316,0,"320740.038",""
"5382","R2AofF","dyslexic_children","fragment",1,0,"word",8,15,1656.15399995231,1,"459939.146,460005.739,460072.283,460139.008,460205.689,460272.373,460339.1,460405.728,460472.37,460539.089,460605.498,460672.283,460739.09,460805.734,460872.29,460939.116,461005.715,461072.238,461139.107,461205.734,461272.384,461339.088,461405.726,461472.35,461539.107","459972.378,460039.106,460105.549,460172.3,460239.087,460305.743,460372.341,460439.114,460505.758,460572.275,460639.123,460705.756,460772.339,460839.084,460905.745,460972.315,461039.099,461105.528,461172.298,461239.091,461305.707,461372.335,461439.083,461505.734,461572.312"
"5383","R2AofF","dyslexic_children","avir",0,3,"pseudoword",4,0.01,522.937999809277,0,"745239.262",""
"5384","R2AofF","dyslexic_children","boutice",0,4,"pseudoword",7,0.01,1945.01399995235,1,"591904.286",""
"5385","R2AofF","dyslexic_children","oiseau",3,0,"word",6,15,1546.18799985689,0,"806955.212,807021.855,807088.567,807155.217,807221.844,807288.643,807355.052,807421.806,807488.572,807555.22,807621.839,807688.559,807755.009,807821.692,807888.342,807955.158,808021.849,808088.336,808155.2,808221.837,808288.564,808355.089,808421.827,808488.56","806988.601,807055.234,807121.831,807188.593,807255.213,807321.854,807388.326,807455.203,807521.837,807588.582,807655.195,807721.835,807788.336,807854.994,807921.68,807988.546,808055.057,808121.839,808188.555,808255.165,808321.84,808388.292,808455.203"
"5386","R2AofF","dyslexic_children","interne",2,0,"word",7,15,828.010999952327,1,"270973.789,271040.573,271107.22,271173.777,271240.371,271307.143,271373.788,271440.581,271507.192,271573.845,271640.526,271707.197,271773.775","271007.211,271073.833,271140.554,271207.208,271273.756,271340.534,271407.212,271473.855,271540.574,271607.207,271673.736,271740.272"
"5387","R2AofF","dyslexic_children","otage",2,0,"word",5,0.01,804.780000000028,1,"597704.22",""
"5388","R2AofF","dyslexic_children","jameus",0,2,"pseudoword",6,15,977.628999904613,1,"529354.971,529421.567,529488.337,529554.968,529621.589,529688.288,529754.979,529821.602,529888.324,529954.968,530021.539,530088.327,530154.972,530221.591,530288.331","529388.332,529454.96,529521.543,529588.316,529654.958,529721.589,529788.355,529854.956,529921.465,529988.327,530054.977,530121.591,530188.321,530254.924,530321.581"
